,precision,recall,f1-score,support
ES-SCLC,0.44776119402985076,1.0,0.6185567010309279,180.0
I,0.0,0.0,0.0,0.0
IA,0.9915966386554622,0.43703703703703706,0.6066838046272494,270.0
IB,0.014705882352941176,0.011111111111111112,0.012658227848101266,90.0
IC,0.0,0.0,0.0,0.0
II,0.0,0.0,0.0,0.0
IIA,0.030303030303030304,0.05555555555555555,0.0392156862745098,90.0
IIB,0.7534791252485089,0.7018518518518518,0.7267497603068073,540.0
IIC,0.0,0.0,0.0,0.0
III,0.0,0.0,0.0,0.0
IIIA,0.7757009345794392,0.11527777777777778,0.2007255139056832,720.0
IIIB,0.405,0.9,0.5586206896551724,630.0
IIIC,0.15254237288135594,0.05,0.07531380753138076,180.0
IV,0.0,0.0,0.0,0.0
IVA,0.92,0.12777777777777777,0.22439024390243903,180.0
IVB,0.4482758620689655,0.7222222222222222,0.5531914893617021,90.0
LS-SCLC,0.9811320754716981,0.1925925925925926,0.3219814241486068,270.0
accuracy,0.45740740740740743,0.45740740740740743,0.45740740740740743,0.45740740740740743
macro avg,0.34826453621125014,0.2537309368191721,0.23165219697603412,3240.0
weighted avg,0.6392655633070943,0.45740740740740743,0.41956194709483036,3240.0
