,ES-SCLC,I,IA,IB,IC,II,IIA,IIB,IIC,III,IIIA,IIIB,IIIC,IV,IVA,IVB,LS-SCLC
ES-SCLC,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,0,47,118,65,9,1,20,9,1,0,0,0,0,0,0,0,0
IB,0,3,0,1,0,0,74,11,0,1,0,0,0,0,0,0,0
IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IIA,0,0,1,1,0,1,5,82,0,0,0,0,0,0,0,0,0
IIB,0,4,0,1,0,16,64,379,1,1,7,67,0,0,0,0,0
IIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IIIA,1,0,0,0,0,2,2,22,0,10,83,588,8,1,2,1,0
IIIB,0,0,0,0,0,0,0,0,0,5,16,567,42,0,0,0,0
IIIC,0,0,0,0,0,0,0,0,0,2,1,167,9,0,0,0,1
IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVA,2,0,0,0,0,0,0,0,0,0,0,11,0,65,23,79,0
IVB,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,65,0
LS-SCLC,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
