url,main_title,publication_date,author,h2_headings
https://www.cancer.org/cancer/types/lung-cancer/about/what-is.html,What Is Lung Cancer?,2024-01-29,American Cancer Society,Normal structure and function of the lungs; Types of lung cancer; Other types of lung tumors; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/about/key-statistics.html,Key Statistics for Lung Cancer,2025-01-16,American Cancer Society,How common is lung cancer?; Lifetime chance of getting lung cancer; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/causes-risks-prevention/risk-factors.html,Lung Cancer Risk Factors,2024-01-29,American Cancer Society,Factors that may affect lung cancer risk; Risk factors you can change; Risk factors you cannot change; Factors with uncertain or unproven effects on lung cancer risk; Related Resources; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/causes-risks-prevention/what-causes.html,What Causes Lung Cancer?,2024-01-29,American Cancer Society,How smoking leads to lung cancer; Causes in people who don’t smoke; Gene changes that may lead to lung cancer; Inherited gene changes (germline mutations); Acquired gene changes (somatic mutations or “driver mutations”); More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/causes-risks-prevention/prevention.html,Can Lung Cancer Be Prevented?,2024-01-29,American Cancer Society,Stay away from tobacco; Avoid radon exposure; Avoid or limit exposure to cancer-causing agents; Eat a healthy diet; Related Resources; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/detection.html,Can Lung Cancer Be Found Early?,2024-01-29,American Cancer Society,Screening options for lung cancer; Reasons to screen people at higher risk for lung cancer; American Cancer Society lung cancer screening guideline; How screening is done; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/lung-nodules.html,Lung Nodules,2024-01-29,American Cancer Society,If you have a lung nodule; After the biopsy; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/signs-symptoms.html,Signs and Symptoms of Lung Cancer,2024-01-29,American Cancer Society,Let your doctor know if you have symptoms; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/how-diagnosed.html,Tests for Lung Cancer,2024-01-29,American Cancer Society,Medical history and physical exam; Imaging tests to look for lung cancer; Tests to diagnose lung cancer; Tests to look for lung cancer; Lab tests of biopsy and other samples; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/staging-nsclc.html,Non-Small Cell Lung Cancer Stages,2024-01-29,American Cancer Society,How is the stage determined?; Stages of non-small cell lung cancer; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/staging-sclc.html,Small Cell Lung Cancer Stages,2024-01-29,American Cancer Society,How is the stage determined?; Limited versus extensive stage; The TNM staging system; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/detection-diagnosis-staging/survival-rates.html,Lung Cancer Survival Rates,2024-01-29,American Cancer Society,How do the numbers apply to you?; What is a 5-year relative survival rate?; Where do these numbers come from?; 5-year relative survival rates for non-small cell lung cancer; 5-year relative survival rates for small cell lung cancer; Understanding the numbers; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/surgery.html,Surgery for Non-Small Cell Lung Cancer,2024-01-29,American Cancer Society,Tests before lung surgery; Types of lung surgery; Ways to do lung surgery; Possible risks and side effects of lung surgery; After surgery; More information about surgery; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/radiofrequency-ablation.html,Radiofrequency Ablation (RFA) for Non-Small Cell Lung Cancer,2024-01-29,American Cancer Society,Types of ablation for lung cancer; Ways to do ablation for lung cancer; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/radiation-therapy.html,Radiation Therapy for Non-Small Cell Lung Cancer,2024-01-29,American Cancer Society,When is radiation therapy used?; Types of radiation therapy used for NSCLC; Possible side effects of radiation therapy for NSCLC; More information about radiation therapy; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/tumor-treating-fields.html,Tumor Treating Fields (TTF) Therapy for Non-small Cell Lung Cancer,2024-10-29,American Cancer Society,When might TTFields be used to treat NSCLC?; How is TTFields therapy given?; Possible side effects of TTFields therapy; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/chemotherapy.html,Chemotherapy for Non-Small Cell Lung Cancer,2024-01-29,American Cancer Society,When is chemotherapy used?; Chemotherapy drugs used to treat NSCLC; How is chemotherapy given?; Possible side effects of chemo for NSCLC; More information about chemotherapy; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/targeted-therapies.html,Targeted Drug Therapy for Non-Small Cell Lung Cancer,2025-01-28,American Cancer Society,When is targeted therapy used?; Angiogenesis inhibitors; KRAS inhibitors; EGFR inhibitors; ALK inhibitors; ROS1 inhibitors; BRAF inhibitors; RET inhibitors; MET inhibitors; HER2-directed drugs; TRK inhibitors; More information about targeted therapy; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/immunotherapy.html,Immunotherapy for Non-Small Cell Lung Cancer,2024-09-23,American Cancer Society,Immune checkpoint inhibitors; More information about immunotherapy; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/palliative.html,Palliative Procedures for Non-Small Cell Lung Cancer,2024-01-29,American Cancer Society,Options for palliative support; Treating fluid buildup in the area around the lung; Treating fluid buildup around the heart; Treating an airway blocked by a tumor; More information about palliative care; More in Lung Cancer; Cookie Policy
https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/by-stage.html,"Treatment Choices for Non-Small Cell Lung Cancer, by Stage",2024-10-29,American Cancer Society,Treating occult cancer; Treating stage 0 NSCLC; Treating stage I NSCLC; Treating stage II NSCLC; Treating stage IIIA NSCLC; Treating stage IIIB NSCLC; Treating stage IVA and IVB NSCLC; NSCLC that progresses or recurs after treatment; More in Lung Cancer; Cookie Policy
